what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526073598074
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526073606539
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526073606692
stopped,bundle,org.eclipse.compare.win32,1.0.200.I20110510-0800,"org.eclipse.compare.win32",1526073606982
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk",1526073606983
stopped,bundle,org.eclipse.wst.xsl.jaxp.debug.ui,1.0.200.v201103081922,"org.eclipse.wst.xsl.jaxp.debug.ui",1526073606983
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1526073606983
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20111213-1754,"org.eclipse.pde.ds.ui",1526073606983
stopped,bundle,org.eclipse.pde.runtime,3.4.201.v20110928-1516,"org.eclipse.pde.runtime",1526073606983
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20110516,"org.eclipse.pde.ua.ui",1526073606983
stopped,bundle,org.eclipse.pde.ui.templates,3.4.400.v20110928-1516,"org.eclipse.pde.ui.templates",1526073606983
stopped,bundle,org.eclipse.wb.rcp.SWT_AWT,1.5.1.r38x201209161301,"org.eclipse.wb.rcp.SWT_AWT",1526073606985
stopped,bundle,org.eclipse.wb.rcp.databinding.emf,1.5.1.r38x201209161238,"org.eclipse.wb.rcp.databinding.emf",1526073606986
stopped,bundle,org.eclipse.wb.rcp.databinding.xwt,1.5.1.r38x201209161246,"org.eclipse.wb.rcp.databinding.xwt",1526073606986
stopped,bundle,org.eclipse.wb.rcp.databinding,1.5.1.r38x201209161238,"org.eclipse.wb.rcp.databinding",1526073606986
stopped,bundle,org.eclipse.wb.rcp.nebula,1.5.1.r38x201209161238,"org.eclipse.wb.rcp.nebula",1526073606986
stopped,bundle,org.eclipse.wb.rcp.swing2swt,1.5.1.r38x201209161238,"org.eclipse.wb.rcp.swing2swt",1526073606986
stopped,bundle,org.eclipse.wb.xwt,1.5.1.r38x201209161246,"org.eclipse.wb.xwt",1526073606986
stopped,bundle,org.eclipse.wb.rcp,1.5.1.r38x201209161238,"org.eclipse.wb.rcp",1526073606986
stopped,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1526073606986
stopped,bundle,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui",1526073606986
stopped,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1526073606986
stopped,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1526073606987
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20110305-1450,"org.eclipse.jdt.apt.ui",1526073606987
stopped,bundle,org.eclipse.wb.core.databinding.xml,1.5.1.r38x201209161132,"org.eclipse.wb.core.databinding.xml",1526073606987
stopped,bundle,org.eclipse.wb.swing.databinding,1.5.1.r38x201209161216,"org.eclipse.wb.swing.databinding",1526073606987
stopped,bundle,org.eclipse.wb.core.databinding,1.5.1.r38x201209161109,"org.eclipse.wb.core.databinding",1526073606987
